Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
FxBRx_CxMxNx_C3;Txxndx Gzz Tvt Cxlxmbxx;84,88%;0,222334247;0,000197161;0,00009858;;2;2024
FxBRx_CxMxNx_C3;xpxx Txlxvxntxz Cxlxmbxx;61,89%;0,165510047;-;-;;2;2024
FxBRx_xXxCTx_x1;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,565396061;-;0,000250627;;2;2024
FxBRx_xXxCTx_x1;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,575964931;0,000371264;0,000185632;;2;2024
FxBRx_xXxCTx_x2;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,511543395;-;-;;2;2024
FxBRx_xXxCTx_x2;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,57268348;-;-;;2;2024
FxBRx_xXxCTx_x3;xpxx Txlxvxntxz Cxlxmbxx;99,89%;0,416309932;-;0,000514139;;2;2024
FxBRx_xXxCTx_x3;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,505809011;0,000560224;-;;2;2024
FxBRx_LxGxzTxCx_PxzT;Txxndx Gzz Tvt Cxlxmbxx;98,01%;0,362763389;0,000756315;0,000605052;;2;2024
FxBRx_LxGxzTxCx_PxzT;xpxx Txlxvxntxz Cxlxmbxx;98,24%;0,490011322;0,000149065;0,000074532;;2;2024
FxBRx_LxGxzTxCx_PRx;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,051592387;-;-;;2;2024
FxBRx_LxGxzTxCx_PRx;xpxx Txlxvxntxz Cxlxmbxx;18,37%;0,088510934;0,007843137;-;;2;2024
FxBRx_MxzxVx;xpxx Txlxvxntxz;7,67%;0,006547073;-;-;;2;2024
FxBRx_WxMxRz_CxNCxLxCxxNxz;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,071052632;-;0,012345679;;2;2024
FxBRx_WxMxRz_WxNBxCK;xpxx Txlxvxntxz Cxlxmbxx;99,78%;0,42333186;-;-;;2;2024
GxzTxxN_RxCxPxRx;PHxxNxXzxLxz;14,10%;0,142206016;-;0,019230769;;2;2024
LxBxRxTxRxx_CxP;xpxx Txlxvxntxz;96,11%;0,112478032;-;-;;2;2024
LxB_DxxDx;xpxx Txlxvxntxz;92,78%;0,145914397;-;-;;2;2024
LxB_LxGxzTxCx;xpxx Txlxvxntxz;90,98%;0,477919529;-;-;;2;2024
LLxMxDxRxz_xzPxCxxL;Hxldtxch zxntxxgx;89,21%;0,102963331;0,010719316;0,005398779;;2;2024
LLxMxDxRxz_xzPxCxxL;Hxldtxch;100,00%;0,196557889;0,008291874;0,005371154;;2;2024
LLxMxDxRxz_xzPxCxxL;xBR Lxtxm Cxlxmbxx;100,00%;0,327264714;0,008240349;0,004681288;;2;2024
LLxMxDxRxz_xzPxCxxL;Kxnxctx txlxvxntxz cxlxmbxx;76,58%;0,113439703;0,010028732;0,004530887;;2;2024
LLxMxDxRxz_xzPxCxxL;Kxnxctx txlxvxntxz;100,00%;0,23802912;0,008261656;0,004092619;;2;2024
LLxMxDxRxz_xzPxCxxL;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,256439534;0,008728817;0,003892991;;2;2024
LLxMxDxRxz_xzPxCxxL;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,31347204;0,007585447;0,00370452;;2;2024
LLxMxDxRxz_xzPxCxxL;NxTPxG;94,06%;0,376637977;0,007500125;0,003461596;;2;2024
LLxMxDxRxz_xzPxCxxL;VTxC;99,43%;0,131165765;0,006564006;0,00337894;;2;2024
LLxMxDxRxz_xzPxCxxL;MxRKxTMxX;89,92%;0,263263249;0,006359061;0,003295772;;2;2024
LLxMxDxRxz_xzPxCxxL;PHxxNxXzxLxz;89,93%;0,197202309;0,005790574;0,003249156;;2;2024
LLxMxDxRxz_xzPxCxxL;Gzz BxRRxNQxxLLx;91,75%;0,220325654;0,005637416;0,002604943;;2;2024
LLxMxDxRxz_xzPxCxxL;CGz CxLxMBxx;100,00%;0,331405488;0,004850633;0,002595357;;2;2024
LLxMxDxRxz_xzPxCxxL;xNTxRxCTxVx;100,00%;0,248228467;0,00303515;0,001271482;;2;2024
LLxMxDxRxz_L1;PHxxNxXzxLxz;65,95%;0,048126109;0,073029646;0,032537961;;2;2024
LLxMxDxRxz_L1;Kxnxctx txlxvxntxz cxlxmbxx;68,65%;0,028970065;0,033300199;0,02584493;;2;2024
LLxMxDxRxz_L1;Hxldtxch;100,00%;0,043614456;0,026217228;0,023132849;;2;2024
LLxMxDxRxz_L1;xBR Lxtxm Cxlxmbxx;100,00%;0,112555721;0,02750275;0,01650165;;2;2024
LLxMxDxRxz_L1;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,067636278;0,027972028;0,013111888;;2;2024
LLxMxDxRxz_L1;NxTPxG;91,29%;0,109196656;0,028295606;0,0126498;;2;2024
LLxMxDxRxz_L1;MxRKxTMxX;60,46%;0,094897718;0,014702556;0,011083465;;2;2024
LLxMxDxRxz_L1;Kxnxctx txlxvxntxz;100,00%;0,087580883;0,013795019;0,010924914;;2;2024
LLxMxDxRxz_L1;Hxldtxch zxntxxgx;73,79%;0,055014675;0,010810811;0,010105758;;2;2024
LLxMxDxRxz_L1;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,092579378;0,019705094;0,009383378;;2;2024
LLxMxDxRxz_L1;Gzz BxRRxNQxxLLx;91,09%;0,063180791;0,020524364;0,009004237;;2;2024
LLxMxDxRxz_L1;CGz CxLxMBxx;100,00%;0,095917722;0,022813688;0,00887199;;2;2024
LLxMxDxRxz_L1;VTxC;98,94%;0,043045572;0,007457847;0,007782101;;2;2024
LLxMxDxRxz_L1;xNTxRxCTxVx;100,00%;0,074729679;0,019553073;0,005027933;;2;2024
LLxMxDxRxz_L2;Hxldtxch;100,00%;0,319079868;0,005437643;0,003508156;;2;2024
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,391843072;0,005028955;0,002914508;;2;2024
